"diff"	"lwr"	"upr"	"p adj"
"HA3-LA3"	-0.227886856637671	-0.808151635904631	0.352377922629289	0.993992689439583
"HA6-LA3"	0.522085622992424	-0.0151351728430108	1.05930641882786	0.0664662963088021
"LN3-LA3"	-0.138920009176198	-0.754383749631272	0.476543731278877	0.999995700039558
"LN6-LA3"	0.155660997780051	-0.42460378148691	0.735925777047011	0.999949222140664
"HN3-LA3"	-0.338546933230641	-0.954010673685715	0.276916807224434	0.872066666637949
"HN6-LA3"	0.00673334376490398	-0.548827885581532	0.56229457311134	1
"LP3-LA3"	-0.402980604108453	-0.983245383375413	0.177284175158507	0.539952420478352
"LP6-LA3"	0.580136359567477	0.0245751302210409	1.13569758891391	0.0312951727849556
"HP3-LA3"	-0.264351167996464	-0.844615947263425	0.315913611270496	0.972834648738293
"HP6-LA3"	0.481719338173108	-0.0413242655750966	1.00476294192131	0.107890462127857
"LC3-LA3"	-0.267567582335925	-0.823128811682361	0.28799364701051	0.955110964889022
"LC6-LA3"	0.521526054562925	-0.00151754918527935	1.04456965831113	0.0515137316051586
"HC3-LA3"	-0.384127322429128	-0.999591062884202	0.231336418025946	0.720059038017074
"HC6-LA3"	0.478688184489798	-0.101576594777162	1.05895296375676	0.24034849773696
"HA3-LA6"	-0.832296773011945	-1.41256155227891	-0.252031993744985	0.00020953507224819
"HA6-LA6"	-0.0823242933818502	-0.619545089217285	0.454896502453585	0.99999998882765
"LN3-LA6"	-0.743329925550472	-1.35879366600555	-0.127866185095398	0.0045393869961855
"LN6-LA6"	-0.448748918594224	-1.02901369786118	0.131515860672737	0.344906403694557
"HN3-LA6"	-0.942956849604915	-1.55842059005999	-0.327493109149841	4.99109480249782e-05
"HN6-LA6"	-0.59767657260937	-1.15323780195581	-0.0421153432629344	0.0220631284602247
"LP3-LA6"	-1.00739052048273	-1.58765529974969	-0.427125741215767	2.14713887602969e-06
"LP6-LA6"	-0.0242735568067975	-0.579834786153233	0.531287672539638	1
"HP3-LA6"	-0.868761084370739	-1.4490258636377	-0.288496305103778	8.38487356812356e-05
"HP6-LA6"	-0.122690578201166	-0.645734181949371	0.400353025547039	0.999992452640002
"LC3-LA6"	-0.8719774987102	-1.42753872805664	-0.316416269363764	2.84199061967305e-05
"LC6-LA6"	-0.0828838618113488	-0.605927465559554	0.440159741936856	0.999999980985676
"HC3-LA6"	-0.988537238803402	-1.60400097925848	-0.373073498348328	1.62724979542173e-05
"HC6-LA6"	-0.125721731884476	-0.705986511151437	0.454543047382484	0.999997652958081
"HA6-HA3"	0.749972479630095	0.21275168379466	1.28719327546553	0.000361910144748512
"LN3-HA3"	0.0889668474614733	-0.526496892993601	0.704430587916548	0.999999995599011
"LN6-HA3"	0.383547854417722	-0.196716924849239	0.963812633684682	0.627538720894978
"HN3-HA3"	-0.11066007659297	-0.726123817048044	0.504803663862105	0.99999986233538
"HN6-HA3"	0.234620200402575	-0.320941028943861	0.790181429749011	0.987057252776729
"LP3-HA3"	-0.175093747470782	-0.755358526737742	0.405171031796179	0.999751647879013
"LP6-HA3"	0.808023216205148	0.252461986858712	1.36358444555158	0.000156755182029622
"HP3-HA3"	-0.0364643113587932	-0.616729090625754	0.543800467908167	1
"HP6-HA3"	0.709606194810779	0.186562591062574	1.23264979855898	0.00062780507240201
"LC3-HA3"	-0.0396807256982543	-0.59524195504469	0.515880503648181	1
"LC6-HA3"	0.749412911200596	0.226369307452392	1.2724565149488	0.000214249381675802
"HC3-HA3"	-0.156240465791457	-0.771704206246531	0.459223274663617	0.99997654981267
"HC6-HA3"	0.706575041127469	0.126310261860509	1.28683982039443	0.00400223838044012
"LN3-HA6"	-0.661005632168622	-1.23606613788543	-0.0859451264518105	0.00933551878315386
"LN6-HA6"	-0.366424625212373	-0.903645421047808	0.170796170623062	0.572478307969606
"HN3-HA6"	-0.860632556223065	-1.43569306193988	-0.285572050506253	8.4576473232012e-05
"HN6-HA6"	-0.51535227922752	-1.02579057028066	-0.00491398817438327	0.0452517761816796
"LP3-HA6"	-0.925066227100877	-1.46228702293631	-0.387845431265442	2.6853230638002e-06
"LP6-HA6"	0.0580507365750527	-0.452387554478084	0.568489027628189	0.999999999910023
"HP3-HA6"	-0.786436790988888	-1.32365758682432	-0.249215995153453	0.000136591601407332
"HP6-HA6"	-0.0403662848193158	-0.515206869481403	0.434474299842771	1
"LC3-HA6"	-0.789653205328349	-1.30009149638149	-0.279214914275213	3.99217123172591e-05
"LC6-HA6"	-0.000559568429498558	-0.475400153091586	0.474281016232589	1
"HC3-HA6"	-0.906212945421552	-1.48127345113836	-0.331152439704741	2.58271349716788e-05
"HC6-HA6"	-0.0433974385026259	-0.580618234338061	0.493823357332809	1
"LN6-LN3"	0.294581006956248	-0.320882733498826	0.910044747411323	0.957484882919445
"HN3-LN3"	-0.199626924054443	-0.84838266974936	0.449128821640474	0.9996794584384
"HN6-LN3"	0.145653352941102	-0.446576907439217	0.73788361332142	0.999985061372074
"LP3-LN3"	-0.264060594932255	-0.879524335387329	0.351403145522819	0.984813688230489
"LP6-LN3"	0.719056368743674	0.126826108363356	1.31128662912399	0.00418592863384426
"HP3-LN3"	-0.125431158820267	-0.740894899275341	0.490032581634808	0.999999062350143
"HP6-LN3"	0.620639347349306	0.0588003907263909	1.18247830397222	0.0158657344196085
"LC3-LN3"	-0.128647573159728	-0.720877833540046	0.463582687220591	0.999997560642416
"LC6-LN3"	0.660446063739123	0.0986071071162081	1.22228502036204	0.0067919522392168
"HC3-LN3"	-0.24520731325293	-0.893963058947847	0.403548432441987	0.996076651178577
"HC6-LN3"	0.617608193665996	0.0021444532109216	1.23307193412107	0.0482334976297026
"HN3-LN6"	-0.494207931010691	-1.10967167146577	0.121255809444383	0.282058476309449
"HN6-LN6"	-0.148927654015147	-0.704488883361583	0.406633575331289	0.999949722021915
"LP3-LN6"	-0.558641601888504	-1.13890638115546	0.0216231773784568	0.0726864251533074
"LP6-LN6"	0.424475361787426	-0.13108586755901	0.980036591133862	0.366075360538222
"HP3-LN6"	-0.420012165776515	-1.00027694504348	0.160252613490445	0.464017465413206
"HP6-LN6"	0.326058340393057	-0.196985263355147	0.849101944141262	0.721835829391251
"LC3-LN6"	-0.423228580115976	-0.978789809462412	0.13233264923046	0.371275740429805
"LC6-LN6"	0.365865056782875	-0.15717854696533	0.88890866053108	0.52683509842367
"HC3-LN6"	-0.539788320209179	-1.15525206066425	0.0756754202458954	0.158735474098582
"HC6-LN6"	0.323027186709747	-0.257237592557213	0.903291965976708	0.860963143475063
"HN6-HN3"	0.345280276995545	-0.246949983384774	0.937510537375863	0.811616002104516
"LP3-HN3"	-0.0644336708778124	-0.679897411332887	0.551030069577262	0.999999999976949
"LP6-HN3"	0.918683292798117	0.326453032417799	1.51091355317844	3.74694783957796e-05
"HP3-HN3"	0.0741957652341763	-0.541267975220898	0.68965950568925	0.999999999766527
"HP6-HN3"	0.820266271403749	0.258427314780834	1.38210522802666	0.000144635435208595
"LC3-HN3"	0.0709793508947152	-0.521250909485603	0.663209611275034	0.999999999787737
"LC6-HN3"	0.860072987793566	0.298234031170651	1.42191194441648	5.08825958871473e-05
"HC3-HN3"	-0.0455803891984876	-0.694336134893405	0.603175356496429	1
"HC6-HN3"	0.817235117720439	0.201771377265364	1.43269885817551	0.000933768695575155
"LP3-HN6"	-0.409713947873357	-0.965275177219793	0.145847281473079	0.429760376320233
"LP6-HN6"	0.573403015802573	0.0436961675854557	1.10310986401969	0.0204578161703507
"HP3-HN6"	-0.271084511761368	-0.826645741107804	0.284476717585068	0.94975882418844
"HP6-HN6"	0.474985994408204	-0.0205093909558755	0.970481379772284	0.075669255698706
"LC3-HN6"	-0.274300926100829	-0.804007774317946	0.255405922116288	0.918287785240459
"LC6-HN6"	0.514792710798021	0.0192973254339418	1.0102880961621	0.0331426964962196
"HC3-HN6"	-0.390860666194032	-0.983090926574351	0.201369594186286	0.630144625367613
"HC6-HN6"	0.471954840724894	-0.0836063886215417	1.02751607007133	0.198844613673164
"LP6-LP3"	0.98311696367593	0.427555734329494	1.53867819302237	1.26027127889117e-06
"HP3-LP3"	0.138629436111989	-0.441635343154972	0.718894215378949	0.999990157619063
"HP6-LP3"	0.884699942281561	0.361656338533356	1.40774354602977	4.33942590172265e-06
"LC3-LP3"	0.135413021772528	-0.420148207573908	0.690974251118963	0.999986866110284
"LC6-LP3"	0.924506658671378	0.401463054923174	1.44755026241958	1.30198307191076e-06
"HC3-LP3"	0.0188532816793248	-0.596610458775749	0.634317022134399	1
"HC6-LP3"	0.881668788598251	0.301404009331291	1.46193356786521	6.0303044462362e-05
"HP3-LP6"	-0.844487527563941	-1.40004875691038	-0.288926298217505	5.97340633923249e-05
"HP6-LP6"	-0.0984170213943685	-0.593912406758448	0.397078363969711	0.999999364986219
